id,symbol,symbol_ext,name,price
4606,HCLP,HCLP,Hi-Crush Partners LP,"$784,636,990.00"
368,ZTEST,ZTEST,BATS BZX Exchange,"$8,662.96"
5161,NPN,NPN,Naspers,"$3,241.27"
15619,JPS9.5.PFD,XJAM:JPS9.5.PFD,Jamaica Public Service Co Ltd,"$2,600.00"
5777,TDG,TDG,Transdigm Group Incorporated,"$1,347.22"
15647,PBS10.50.PFD,XJAM:PBS10.50.PFD,Productive Business Solutions Ltd,"$1,155.00"
1859,KLAC,KLAC,KLA-Tencor Corporation,"$1,097.12"
4532,GHC,GHC,Graham Holdings Company,"$1,079.67"
3573,ANH,ANH,Anheuser-Busch InBev,"$1,067.58"
4272,LLY,LLY,Eli Lilly and Company,"$1,059.70"
3805,BLK,BLK,"BlackRock, Inc.","$1,014.72"
259,ASML,ASML,ASML Holding N.V.,$966.57
5920,GWW,GWW,"W.W. Grainger, Inc.",$952.15
236,ARGX,ARGX,argenx SE,$918.92
762,COST,COST,Costco Wholesale Corporation,$899.01
4051,FIX,FIX,"Comfort Systems USA, Inc.",$894.08
2123,MPWR,MPWR,"Monolithic Power Systems, Inc.",$872.35
4930,MCK,MCK,McKesson Corporation,$866.03
3500,Y,Y,Alleghany Corporation,$847.79
5243,PH,PH,Parker-Hannifin Corporation,$839.57
5527,NOW,NOW,"ServiceNow, Inc.",$813.43
5832,URI,URI,"United Rentals, Inc.",$800.00
4523,GS,GS,"Goldman Sachs Group, Inc. (The)",$774.03
2638,REGN,REGN,"Regeneron Pharmaceuticals, Inc.",$755.90
1002,EQIX,EQIX,"Equinix, Inc.",$754.68
5071,NEU,NEU,NewMarket Corporation,$742.94
1566,IDXX,IDXX,"IDEXX Laboratories, Inc.",$725.91
1647,INTU,INTU,Intuit Inc.,$663.15
4167,DDS,DDS,"Dillard's, Inc.",$611.56
4913,MLM,MLM,"Martin Marietta Materials, Inc.",$603.18
3874,CACI,CACI,"CACI International, Inc.",$599.94
2048,MEDP,MEDP,"Medpace Holdings, Inc.",$591.82
1691,QQQ,QQQ,"Invesco QQQ Trust, Series 1",$590.07
5738,TMO,TMO,Thermo Fisher Scientific Inc,$587.48
5588,SPOT,SPOT,Spotify Technology S.A.,$583.61
4277,EME,EME,"EMCOR Group, Inc.",$581.58
548,CVCO,CVCO,"Cavco Industries, Inc.",$573.39
5100,NOC,NOC,Northrop Grumman Corporation,$566.70
5010,MSCI,MSCI,MSCI Inc,$561.99
1648,ISRG,ISRG,"Intuitive Surgical, Inc.",$561.61
538,CASY,CASY,"Caseys General Stores, Inc.",$560.30
3920,CAT,CAT,Caxton and CTP Publishers and Printers,$550.43
1991,MDGL,MDGL,"Madrigal Pharmaceuticals, Inc.",$547.96
4917,MA,MA,Mastercard Incorporated,$540.40
4121,CW,CW,Curtiss-Wright Corporation,$536.00
324,AXON,AXON,Axovant Sciences Ltd.,$521.99
3156,ULTA,ULTA,"Ulta Beauty, Inc.",$515.58
2189,NWLI,NWLI,"National Western Life Group, Inc.",$499.98
5695,TDY,TDY,Teledyne Technologies Incorporated,$494.87
5465,SPGI,SPGI,S&P Global Inc.,$493.60
4582,HCA,HCA,"HCA Healthcare, Inc.",$491.00
4143,DE,DE,Deere & Company,$487.24
3572,ANTM,ANTM,"Anthem, Inc.",$482.58
4993,MCO,MCO,Moody's Corporation,$479.65
3179,UTHR,UTHR,United Therapeutics Corporation,$474.82
957,ESLT,ESLT,Elbit Systems Ltd.,$473.71
5809,TYL,TYL,"Tyler Technologies, Inc.",$472.77
4119,CMI,CMI,Cummins Inc.,$472.51
2081,MSFT,MSFT,Microsoft Corporation,$472.12
4842,LII,LII,"Lennox International, Inc.",$465.12
